1;2.605;Презентационная;;11
2;1.512;Зона отходов;;1
3;1.400;Склад замороженного картофеля;;10
4;1.503;Система холодоснабжения;;9
5;1.502;Трансформаторная;;8
6;1.501;Мастерская;;7
7;1.518;РУ 10 кВ;;8
8;1.519;Компрессорная сжатого воздуха;;9
9;1.406;Склад запасных частей;;6
10;1.407;Склад хранения масла;;3
12;1.408;Склад хранения ингредиентов;;4
13;1.303;Зона приготовления ингредиентов;;10
14;1.304;Зона приготовления ингредиентов;;10
16;1.507;Котельная;;2
17;1.508;Зона отходов;;1
18;1.509;Водомерный узел;;2
20;1.200;Зона выгрузки (приемка сырья);;10
20;1.200;Зона выгрузки картофеля;;10
21;1.516;Помещение для отходов;;10
22;1.517;Лаборатория приемки;;11
24;1.202;Зона временного хранения картофеля;;10
25;1.201;Зона мойки картофеля;;10
26;1.514;ИТП;;2
28;1.300;Производственная зона;;10
29;1.301;Зона распределения;;10
30;1.302;Зона упаковки;;10
31;1.404;Склад тары;;4
32;1.700;Тамбур-шлюз;;5
33;1.403;Зона отгрузки;;5
34;1.500;Зарядная погрузчиков;;5
